Date,rate_BAC,rate_VOO,Sector,rate_COIN,rate_JPM
2023-03-21,-31.73,-8.08,Financial Services,-31.23,-11.58
2023-03-22,-33.98,-9.56,Financial Services,-36.78,-13.84
2023-03-23,-35.57,-9.35,Financial Services,-45.57,-14.07
2023-03-24,-35.17,-9.13,Financial Services,-44.33,-15.37
2023-03-27,-31.96,-8.98,Financial Services,-48.62,-12.96
2023-03-28,-32.84,-9.14,Financial Services,-48.21,-12.7
2023-03-29,-31.54,-7.87,Financial Services,-46.37,-12.53
2023-03-30,-32.42,-7.33,Financial Services,-47.3,-12.79
2023-03-31,-31.7,-6.05,Financial Services,-44.53,-11.74
2023-04-03,-31.04,-5.56,Financial Services,-46.71,-11.58
2023-04-04,-32.48,-6.08,Financial Services,-47.58,-12.74
2023-04-05,-33.29,-6.3,Financial Services,-49.02,-13.28
2023-04-06,-32.81,-5.95,Financial Services,-48.48,-13.38
2023-04-10,-32.58,-5.85,Financial Services,-44.65,-13.1
2023-04-11,-30.74,-5.84,Financial Services,-41.31,-12.67
2023-04-12,-31.29,-6.21,Financial Services,-43.24,-12.69
2023-04-13,-31.1,-5.01,Financial Services,-42.33,-12.36
2023-04-14,-28.8,-5.2,Financial Services,-41.54,-5.81
2023-04-17,-26.77,-4.88,Financial Services,-43.34,-5.07
2023-04-18,-26.32,-4.82,Financial Services,-43.73,-4.01
2023-04-19,-27.52,-4.83,Financial Services,-46.07,-4.13
2023-04-20,-27.9,-5.36,Financial Services,-49.34,-4.4
2023-04-21,-27.97,-5.3,Financial Services,-50.55,-4.59
2023-04-24,-28.24,-5.18,Financial Services,-54.11,-4.46
2023-04-25,-30.45,-6.43,Financial Services,-53.44,-6.52
2023-04-26,-31.41,-6.78,Financial Services,-54.83,-8.17
2023-04-27,-30.33,-5.24,Financial Services,-54.59,-6.94
2023-04-28,-29.39,-4.56,Financial Services,-54.91,-6.14
2023-05-01,-29.33,-4.51,Financial Services,-56.72,-4.05
2023-05-02,-31.44,-5.49,Financial Services,-55.73,-5.35
2023-05-03,-32.15,-6.08,Financial Services,-58.1,-7.03
2023-05-04,-34.23,-6.71,Financial Services,-57.49,-8.09
2023-05-05,-32.51,-5.15,Financial Services,-49.93,-6.6
2023-05-08,-32.56,-5.11,Financial Services,-50.05,-6.41
2023-05-09,-32.63,-5.5,Financial Services,-48.26,-6.82
2023-05-10,-33.45,-5.1,Financial Services,-46.2,-6.78
2023-05-11,-33.28,-5.23,Financial Services,-48.14,-7.05
2023-05-12,-34.01,-5.35,Financial Services,-50.7,-8.27
2023-05-15,-32.66,-5.04,Financial Services,-47.79,-7.56
2023-05-16,-33.36,-5.65,Financial Services,-50.25,-8.16
2023-05-17,-30.43,-4.56,Financial Services,-47.56,-5.46
2023-05-18,-30.67,-3.65,Financial Services,-48.22,-4.77
2023-05-19,-31.54,-3.8,Financial Services,-51.18,-4.98
2023-05-22,-30.99,-3.74,Financial Services,-47.53,-5.73
2023-05-23,-30.4,-4.8,Financial Services,-49.21,-6.69
2023-05-24,-31.57,-5.51,Financial Services,-49.84,-7.53
2023-05-25,-31.4,-4.7,Financial Services,-51.12,-7.31
2023-05-26,-31.06,-3.48,Financial Services,-51.07,-6.46
2023-05-30,-31.18,-3.45,Financial Services,-47.45,-6.11
2023-05-31,-32.32,-3.96,Financial Services,-46.57,-7.28
2023-06-01,-31.67,-2.99,Financial Services,-44.45,-5.91
2023-06-02,-29.42,-1.6,Financial Services,-43.62,-3.98
2023-06-05,-29.84,-1.79,Financial Services,-48.64,-4.91
2023-06-06,-28.15,-1.59,Financial Services,-54.79,-4.74
2023-06-07,-27.54,-1.91,Financial Services,-53.36,-3.83
2023-06-08,-28.15,-1.33,Financial Services,-51.94,-3.8
2023-06-09,-28.05,-1.17,Financial Services,-53.34,-3.61
2023-06-12,-28.39,-0.27,Financial Services,-55.7,-3.62
2023-06-13,-27.73,0.38,Financial Services,-54.1,-2.92
2023-06-14,-28.42,0.45,Financial Services,-52.8,-3.28
2023-06-15,-27.81,1.72,Financial Services,-52.49,-2.19
2023-06-16,-28.25,1.35,Financial Services,-51.33,-2.08
2023-06-20,-29.03,0.89,Financial Services,-50.02,-2.57
2023-06-21,-29.77,0.35,Financial Services,-49.15,-2.72
2023-06-22,-31.26,0.71,Financial Services,-49.68,-4.58
2023-06-23,-31.78,-0.04,Financial Services,-46.22,-5.08
2023-06-26,-30.94,-0.45,Financial Services,-45.81,-4.85
2023-06-27,-30.57,0.64,Financial Services,-38.89,-4.84
2023-06-28,-30.99,0.69,Financial Services,-38.14,-5.26
2023-06-29,-29.54,0.68,Financial Services,-36.67,-1.96
2023-06-30,-29.47,1.85,Financial Services,-37.44,-0.59
2023-07-03,-27.64,2.0,Financial Services,-29.52,0.2
2023-07-05,-27.94,1.78,Financial Services,-30.89,-1.13
2023-07-06,-29.89,0.97,Financial Services,-31.11,-2.1
2023-07-07,-29.28,0.74,Financial Services,-30.57,-1.33
2023-07-10,-28.96,1.01,Financial Services,-28.41,-0.79
2023-07-11,-28.08,1.65,Financial Services,-21.49,0.75
2023-07-12,-27.24,2.44,Financial Services,-24.28,1.25
2023-07-13,-26.48,3.26,Financial Services,-5.92,1.73
2023-07-14,-27.85,3.18,Financial Services,-7.4,2.34
2023-07-17,-27.14,3.53,Financial Services,-7.19,4.79
2023-07-18,-23.93,4.31,Financial Services,-7.9,4.98
2023-07-19,-21.89,4.53,Financial Services,-3.77,5.38
2023-07-20,-21.49,3.86,Financial Services,-10.38,6.67
2023-07-21,-20.78,3.87,Financial Services,-10.7,5.85
2023-07-24,-19.12,4.3,Financial Services,-12.17,7.93
2023-07-25,-20.36,4.56,Financial Services,-12.99,7.13
2023-07-26,-19.72,4.58,Financial Services,-11.53,7.77
2023-07-27,-20.85,3.99,Financial Services,-16.5,6.58
2023-07-28,-20.98,4.84,Financial Services,-15.04,7.19
2023-07-31,-20.73,5.01,Financial Services,-12.34,7.9
2023-08-01,-21.1,4.66,Financial Services,-15.1,7.3
2023-08-02,-21.98,3.53,Financial Services,-17.61,6.29
2023-08-03,-21.53,3.31,Financial Services,-17.39,6.83
2023-08-04,-21.76,2.92,Financial Services,-19.71,6.64
2023-08-07,-20.56,3.63,Financial Services,-20.63,7.06
2023-08-08,-21.64,3.32,Financial Services,-19.32,6.64
2023-08-09,-22.36,2.85,Financial Services,-21.64,5.63
2023-08-10,-22.22,2.89,Financial Services,-22.24,5.52
2023-08-11,-21.6,2.83,Financial Services,-23.74,5.95
2023-08-14,-22.23,3.23,Financial Services,-23.86,6.1
2023-08-15,-23.91,2.44,Financial Services,-24.88,4.28
2023-08-16,-25.02,1.94,Financial Services,-25.0,3.99
2023-08-17,-25.03,1.39,Financial Services,-27.15,3.27
2023-08-18,-25.32,1.45,Financial Services,-28.64,3.43
2023-08-21,-25.25,1.9,Financial Services,-27.33,3.66
2023-08-22,-26.46,1.71,Financial Services,-27.57,2.24
2023-08-23,-26.45,2.43,Financial Services,-25.73,2.69
2023-08-24,-26.16,1.53,Financial Services,-28.36,2.63
2023-08-25,-26.36,1.97,Financial Services,-27.98,2.54
2023-08-28,-25.92,2.41,Financial Services,-28.33,2.78
2023-08-29,-25.22,3.38,Financial Services,-21.25,3.33
2023-08-30,-25.44,3.66,Financial Services,-21.81,3.06
2023-08-31,-26.07,3.58,Financial Services,-24.53,2.21
2023-09-01,-25.04,3.65,Financial Services,-25.07,2.39
2023-09-05,-25.6,3.35,Financial Services,-25.38,1.66
2023-09-06,-26.15,2.76,Financial Services,-24.95,1.52
2023-09-07,-26.77,2.49,Financial Services,-21.65,0.73
2023-09-08,-26.2,2.62,Financial Services,-21.38,0.8
2023-09-11,-25.9,3.26,Financial Services,-22.73,1.22
2023-09-12,-24.65,2.72,Financial Services,-22.07,2.51
2023-09-13,-24.88,2.84,Financial Services,-23.44,2.55
2023-09-14,-24.07,3.7,Financial Services,-20.07,4.49
2023-09-15,-24.98,2.45,Financial Services,-21.29,4.19
2023-09-18,-25.19,2.56,Financial Services,-21.8,4.4
2023-09-19,-25.47,2.36,Financial Services,-25.1,4.27
2023-09-20,-25.73,1.42,Financial Services,-26.48,3.83
2023-09-21,-27.01,-0.2,Financial Services,-28.61,3.04
2023-09-22,-28.06,-0.44,Financial Services,-31.89,2.06
2023-09-25,-28.17,-0.03,Financial Services,-31.14,2.56
2023-09-26,-29.28,-1.48,Financial Services,-32.31,1.5
2023-09-27,-29.02,-1.46,Financial Services,-31.36,2.09
2023-09-28,-28.27,-1.26,Financial Services,-27.89,3.35
2023-09-29,-28.74,-1.49,Financial Services,-27.97,1.57
2023-10-02,-29.91,-1.47,Financial Services,-27.22,0.69
2023-10-03,-31.95,-2.77,Financial Services,-29.9,-0.04
2023-10-04,-31.87,-2.07,Financial Services,-28.96,0.4
2023-10-05,-31.56,-2.15,Financial Services,-27.87,0.09
2023-10-06,-31.53,-1.01,Financial Services,-24.23,1.6
2023-10-09,-30.91,-0.36,Financial Services,-23.62,1.37
2023-10-10,-29.09,0.14,Financial Services,-23.12,1.98
2023-10-11,-29.07,0.56,Financial Services,-25.29,2.33
2023-10-12,-29.38,-0.03,Financial Services,-27.36,2.1
2023-10-13,-29.74,-0.55,Financial Services,-29.04,3.61
2023-10-16,-29.15,0.47,Financial Services,-27.34,3.51
2023-10-17,-27.5,0.48,Financial Services,-25.18,3.29
2023-10-18,-28.31,-0.85,Financial Services,-28.57,2.16
2023-10-19,-29.22,-1.68,Financial Services,-29.36,1.73
2023-10-20,-30.92,-2.89,Financial Services,-27.87,0.1
2023-10-23,-32.85,-3.06,Financial Services,-25.42,-1.26
2023-10-24,-33.12,-2.34,Financial Services,-20.75,-1.14
2023-10-25,-32.91,-3.7,Financial Services,-24.86,-1.68
2023-10-26,-31.42,-4.87,Financial Services,-27.92,-1.42
2023-10-27,-33.9,-5.28,Financial Services,-31.61,-4.95
2023-10-30,-32.54,-4.16,Financial Services,-28.89,-3.75
2023-10-31,-30.84,-3.59,Financial Services,-25.51,-2.61
2023-11-01,-30.1,-2.49,Financial Services,-24.38,-2.64
2023-11-02,-26.97,-0.7,Financial Services,-17.97,-0.95
2023-11-03,-24.91,0.19,Financial Services,-16.84,0.13
2023-11-06,-25.14,0.38,Financial Services,-16.3,0.87
2023-11-07,-25.58,0.65,Financial Services,-13.68,0.82
2023-11-08,-26.29,0.73,Financial Services,-14.41,1.31
2023-11-09,-27.23,-0.01,Financial Services,-10.01,1.01
2023-11-10,-26.83,1.52,Financial Services,-9.96,2.49
2023-11-13,-26.78,1.42,Financial Services,-10.23,2.04
2023-11-14,-22.8,3.34,Financial Services,-10.76,3.89
2023-11-15,-21.75,3.57,Financial Services,-4.89,4.79
2023-11-16,-21.96,3.71,Financial Services,-6.08,5.97
2023-11-17,-20.81,3.86,Financial Services,-4.02,6.92
2023-11-20,-20.73,4.63,Financial Services,2.8,7.24
2023-11-21,-21.65,4.36,Financial Services,2.21,7.02
2023-11-22,-21.73,4.81,Financial Services,5.85,7.27
2023-11-24,-21.46,4.87,Financial Services,11.94,7.42
2023-11-27,-21.91,4.69,Financial Services,16.04,7.18
2023-11-28,-21.98,4.79,Financial Services,24.27,7.42
2023-11-29,-20.23,4.72,Financial Services,23.83,7.96
2023-11-30,-19.83,5.12,Financial Services,20.83,9.18
2023-12-01,-18.43,5.62,Financial Services,29.04,9.53
2023-12-04,-18.73,5.11,Financial Services,36.0,10.32
2023-12-05,-19.31,5.08,Financial Services,35.14,10.3
2023-12-06,-19.43,4.72,Financial Services,29.78,9.16
2023-12-07,-19.12,5.4,Financial Services,31.28,9.49
2023-12-08,-18.4,5.77,Financial Services,41.33,10.68
2023-12-11,-18.66,6.12,Financial Services,33.04,11.08
2023-12-12,-18.9,6.6,Financial Services,34.35,11.92
2023-12-13,-16.09,7.92,Financial Services,43.23,12.24
2023-12-14,-11.98,8.21,Financial Services,45.83,13.96
2023-12-15,-12.71,8.06,Financial Services,41.13,14.69
2023-12-18,-13.08,8.62,Financial Services,45.66,15.28
2023-12-19,-12.89,9.16,Financial Services,52.5,16.7
2023-12-20,-14.15,7.51,Financial Services,53.12,15.48
2023-12-21,-13.63,8.36,Financial Services,58.57,16.09
2023-12-22,-13.08,8.57,Financial Services,65.16,16.03
2023-12-26,-12.06,8.94,Financial Services,62.12,16.66
2023-12-27,-12.1,9.1,Financial Services,73.79,17.3
2023-12-28,-12.01,9.11,Financial Services,74.78,17.88
2023-12-29,-12.51,8.87,Financial Services,63.78,17.75
2024-01-02,-11.74,8.16,Financial Services,47.83,18.67
2024-01-03,-12.66,7.53,Financial Services,43.64,18.2
2024-01-04,-11.97,7.23,Financial Services,46.74,18.25
2024-01-05,-10.35,7.36,Financial Services,45.23,18.83
2024-01-08,-10.95,8.85,Financial Services,50.32,18.71
2024-01-09,-12.05,8.62,Financial Services,43.34,18.02
2024-01-10,-12.11,9.22,Financial Services,42.69,18.21
2024-01-11,-13.04,9.19,Financial Services,33.18,17.84
2024-01-12,-13.77,9.23,Financial Services,23.43,17.2
2024-01-16,-15.17,8.92,Financial Services,26.34,16.66
2024-01-17,-15.84,8.42,Financial Services,26.32,16.2
2024-01-18,-15.98,9.22,Financial Services,17.39,16.37
2024-01-19,-14.97,10.34,Financial Services,17.77,17.84
2024-01-22,-14.28,10.55,Financial Services,21.02,17.74
2024-01-23,-13.77,10.83,Financial Services,17.23,17.15
2024-01-24,-13.27,10.91,Financial Services,14.55,17.95
2024-01-25,-12.31,11.43,Financial Services,14.24,19.23
2024-01-26,-12.21,11.37,Financial Services,18.19,18.88
2024-01-29,-11.79,12.06,Financial Services,25.36,19.12
2024-01-30,-8.86,11.99,Financial Services,23.48,21.26
2024-01-31,-10.8,10.45,Financial Services,21.01,20.1
2024-02-01,-11.73,11.46,Financial Services,21.33,19.37
2024-02-02,-11.92,12.41,Financial Services,21.58,19.96
2024-02-05,-13.09,12.07,Financial Services,10.56,19.83
2024-02-06,-12.97,12.35,Financial Services,12.88,20.21
2024-02-07,-12.61,13.07,Financial Services,15.0,20.42
2024-02-08,-12.76,13.13,Financial Services,24.76,20.02
2024-02-09,-12.89,13.64,Financial Services,33.55,20.15
2024-02-12,-11.5,13.6,Financial Services,38.51,20.65
2024-02-13,-13.74,12.17,Financial Services,32.05,19.64
2024-02-14,-12.76,13.12,Financial Services,50.71,20.81
2024-02-15,-10.33,13.8,Financial Services,55.65,23.35
2024-02-16,-10.28,13.28,Financial Services,69.32,22.79
2024-02-20,-10.62,12.73,Financial Services,62.78,23.26
2024-02-21,-11.29,12.83,Financial Services,52.61,24.03
2024-02-22,-11.52,14.94,Financial Services,60.54,25.46
2024-02-23,-10.72,14.99,Financial Services,55.94,26.07
2024-02-26,-11.52,14.61,Financial Services,82.05,25.66
2024-02-27,-9.78,14.81,Financial Services,86.99,25.72
2024-02-28,-9.7,14.65,Financial Services,88.47,26.34
2024-02-29,-9.15,15.05,Financial Services,91.06,27.47
2024-03-01,-9.43,15.81,Financial Services,91.5,26.48
2024-03-04,-7.38,15.68,Financial Services,113.01,27.4
2024-03-05,-6.75,14.57,Financial Services,101.51,28.64
2024-03-06,-6.68,15.15,Financial Services,121.75,29.28
2024-03-07,-6.13,16.24,Financial Services,125.53,28.19
2024-03-08,-6.21,15.57,Financial Services,138.55,28.42
2024-03-11,-5.46,15.48,Financial Services,136.27,28.46
2024-03-12,-5.27,16.5,Financial Services,138.1,29.35
2024-03-13,-4.96,16.35,Financial Services,134.0,30.23
2024-03-14,-5.98,16.14,Financial Services,117.22,28.28
2024-03-15,-6.71,15.48,Financial Services,125.29,29.61
2024-03-18,-5.14,16.07,Financial Services,122.75,30.96
2024-03-19,-5.1,16.58,Financial Services,115.24,31.42
2024-03-20,-3.49,17.38,Financial Services,136.38,32.43
2024-03-21,-1.8,17.69,Financial Services,140.42,33.53
2024-03-22,-2.82,17.27,Financial Services,135.3,32.55
2024-03-25,-3.25,17.03,Financial Services,154.41,31.83
2024-03-26,-2.76,16.78,Financial Services,144.22,32.26
2024-03-27,-1.26,17.57,Financial Services,136.24,34.07
2024-03-28,-1.03,17.56,Financial Services,142.89,34.44
2024-04-01,-1.83,17.14,Financial Services,130.32,33.21
2024-04-02,-2.35,16.47,Financial Services,125.04,33.16
2024-04-03,-2.02,16.56,Financial Services,129.88,32.85
2024-04-04,-3.23,15.31,Financial Services,128.22,31.34
2024-04-05,-2.79,16.37,Financial Services,120.87,32.36
2024-04-08,-1.88,16.41,Financial Services,134.44,32.95
2024-04-09,-1.39,16.55,Financial Services,122.13,32.24
2024-04-10,-3.69,15.5,Financial Services,129.18,31.35
2024-04-11,-4.32,16.27,Financial Services,139.72,31.33
2024-04-12,-5.51,14.8,Financial Services,124.58,24.61
2024-04-15,-5.17,13.46,Financial Services,104.99,24.67
2024-04-16,-8.19,13.26,Financial Services,100.88,23.4
2024-04-17,-6.88,12.6,Financial Services,96.35,22.96
2024-04-18,-5.6,12.36,Financial Services,100.21,23.67
2024-04-19,-2.74,11.45,Financial Services,93.86,26.43
2024-04-22,-0.94,12.38,Financial Services,107.19,28.61
2024-04-23,0.66,13.77,Financial Services,116.77,30.36
2024-04-24,0.54,13.69,Financial Services,105.84,30.96
2024-04-25,-0.49,13.23,Financial Services,105.15,31.15
2024-04-26,-0.69,14.34,Financial Services,116.67,31.23
2024-04-29,-1.39,14.73,Financial Services,100.21,31.09
2024-04-30,-2.77,12.94,Financial Services,87.25,30.08
2024-05-01,-2.88,12.36,Financial Services,91.29,29.65
2024-05-02,-3.05,13.38,Financial Services,108.08,29.52
2024-05-03,-2.12,14.75,Financial Services,103.07,28.77
2024-05-06,-1.01,15.88,Financial Services,106.36,29.74
2024-05-07,-0.63,16.04,Financial Services,95.01,29.57
2024-05-08,-0.96,16.05,Financial Services,92.18,32.15
2024-05-09,0.51,16.7,Financial Services,91.5,33.37
2024-05-10,0.94,16.85,Financial Services,82.91,34.21
2024-05-13,0.33,16.85,Financial Services,81.64,34.19
2024-05-14,1.05,17.4,Financial Services,84.84,36.04
2024-05-15,2.15,18.81,Financial Services,100.08,36.44
2024-05-16,2.95,18.58,Financial Services,81.33,36.68
2024-05-17,3.13,18.76,Financial Services,88.95,38.23
2024-05-20,1.91,18.87,Financial Services,104.85,32.08
2024-05-21,3.75,19.19,Financial Services,105.39,34.72
2024-05-22,4.0,18.84,Financial Services,110.58,33.91
2024-05-23,2.69,17.97,Financial Services,99.11,32.98
2024-05-24,3.87,18.76,Financial Services,116.14,35.52
2024-05-28,3.02,18.86,Financial Services,122.8,34.71
2024-05-29,1.69,18.03,Financial Services,115.24,33.78
2024-05-30,1.49,17.25,Financial Services,113.52,34.59
2024-05-31,4.51,18.26,Financial Services,105.51,36.81
2024-06-03,4.19,18.08,Financial Services,108.63,35.66
2024-06-04,3.78,18.22,Financial Services,120.1,33.89
2024-06-05,4.36,19.6,Financial Services,126.55,32.62
2024-06-06,3.82,19.58,Financial Services,131.63,32.39
2024-06-07,3.99,19.43,Financial Services,120.06,34.41
2024-06-10,3.76,19.81,Financial Services,125.12,34.19
2024-06-11,1.86,20.08,Financial Services,120.09,30.68
2024-06-12,3.15,21.06,Financial Services,129.74,28.8
2024-06-13,2.8,21.28,Financial Services,123.17,30.22
2024-06-14,2.75,21.38,Financial Services,120.36,30.3
2024-06-17,3.38,22.32,Financial Services,120.89,31.1
2024-06-18,4.57,22.64,Financial Services,112.68,32.45
2024-06-20,4.57,22.31,Financial Services,111.86,33.57
2024-06-21,3.34,22.04,Financial Services,103.62,31.19
