Symbol,Name,IndustryCode,Industry
IMO,Imperial Oil Ltd,50102030,"오일, 가스 정제 및 마케팅"
CBOE,Cboe Global Markets Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
PHYS,Sprott Physical Gold Trust,55501030,폐쇄형 펀드
SIM,Grupo Simec SAB de CV ADR,51201020,철 및 강철
CEF,Sprott Physical Gold and Silver Trust USD,55501030,폐쇄형 펀드
PSLV,Sprott Physical Silver Trust USD,55501030,폐쇄형 펀드
BTG,B2Gold Corp,51201060,금
SEB,Seaboard Corp,54102020,식품 가공
UEC,Uranium Energy Corp,50301010,우라늄
GSAT,Globalstar Inc,57401020,무선 통신 서비스
PRK,Park National Corp,55101010,은행
UTG,Reaves Utility Income Closed Fund,55501030,폐쇄형 펀드
DNN,Denison Mines Corp,50301010,우라늄
CLM,Cornerstone Strategic Value Closed Fund,55501030,폐쇄형 펀드
EQX,Equinox Gold Corp,51201060,금
NHC,National Healthcare Corp,56102010,의료 시설 및 서비스
FLYX,Flyexclusive Inc,52406010,항공사
ORLA,Orla Mining Ltd,51201060,금
EVV,Eaton Vance Limited Duration Income Closed Fund,55501030,폐쇄형 펀드
CET,Central Securities Closed Fund,55501030,폐쇄형 펀드
IE,Ivanhoe Electric Inc,51201080,다각적 채굴
JWSM.U,Jaws Mustang Acquisition Units,55601010,투자 지주 회사
NGD,New Gold Inc,51201060,금
UUUU,Energy Fuels Inc,50301010,우라늄
MAG,MAG Silver Corp,51201010,금 제외 귀금속 및 광물
NG,NovaGold Resources Inc,51201060,금
SKYH,Sky Harbour Group Corp,52407010,공항 운영 및 서비스
SILV,Silvercrest Metals Inc,51201010,금 제외 귀금속 및 광물
CRF,Cornerstone Total Return Closed Fund,55501030,폐쇄형 펀드
EIM,Eaton Vance Municipal Bond Closed Fund,55501030,폐쇄형 펀드
TMP,Tompkins Financial Corp,55101010,은행
FAX,abrdn Asia Pacific Income Mutual Fund,55501030,폐쇄형 펀드
LEU,Centrus Energy Corp,50301010,우라늄
NFGC,New Found Gold Corp,51201060,금
TELL,Tellurian Inc,50102020,"오일, 가스 탐사 및 생산"
CATX,Perspective Therapeutics Inc,56101020,"의료 장비, 물품 및 유통"
GGN,GAMCO Global Gold Natural Resources and Income Closed Fund,55501030,폐쇄형 펀드
REPX,Riley Exploration Permian Inc,50102020,"오일, 가스 탐사 및 생산"
OBE,Obsidian Energy Ltd,50102020,"오일, 가스 탐사 및 생산"
SVM,Silvercorp Metals Inc,51201010,금 제외 귀금속 및 광물
TGB,Taseko Mines Ltd,51201050,특수 채굴 및 금속
URG,Ur-Energy Inc,50301010,우라늄
AEON,Aeon Biopharma Inc,56202010,생명 공학 및 의학 연구
IAUX,I-80 Gold Corp,51201060,금
ARMN,Aris Mining Corp,51201060,금
NSTB.U,Northern Star Investment Redeemable Units,55601010,투자 지주 회사
PLM,Polymet Mining Corp,51201080,다각적 채굴
NML,Neuberger Berman Energy Infrastructure and Income,55501030,폐쇄형 펀드
EAD,Allspring Income Opportunities Mutual Fund,55501030,폐쇄형 펀드
BHB,Bar Harbor Bankshares,55101010,은행
VKI,Invesco Advantage Municipal Inc Tr II,55501030,폐쇄형 펀드
CIX,CompX International Inc,52102010,산업용 기계 및 장비
VCXB.U,10X Capital Venture Acquisition III Units,55601010,투자 지주 회사
AMBI,Ambipar Emergency Response,52203010,환경 서비스 및 장비
SENS,Senseonics Holdings Inc,56101020,"의료 장비, 물품 및 유통"
FEN,First Trust Energy Income & Growth Fund,55501030,폐쇄형 펀드
JWSM,Jaws Mustang Acquisition Corp,55601010,투자 지주 회사
ATEK.U,Athena Technology Acquisition II Units,55601010,투자 지주 회사
REI,Ring Energy Inc,50102020,"오일, 가스 탐사 및 생산"
EVE.U,Eve Mobility Acquisition Units,55601010,투자 지주 회사
BITE.U,Bite Acquisition Units,55601010,투자 지주 회사
GROY,Gold Royalty Corp,51201060,금
EVI,EVI Industries Inc,52102010,산업용 기계 및 장비
ERC,Allspring Multi-Sector Income Fund,55501030,폐쇄형 펀드
AEF,abrdn Emerging Markets Equity Income Mutual Fund,55501030,폐쇄형 펀드
RLGT,Radiant Logistics Inc,52405010,"배달, 우편, 항공 화물 및 육상 물류"
FTF,Franklin Limited Duration Income Trust,55501030,폐쇄형 펀드
MTA,Metalla Royalty & Streaming Ltd,51201080,다각적 채굴
GAU,Galiano Gold Inc,51201060,금
VZLA,Vizsla Silver Corp,51201080,다각적 채굴
GENC,Gencor Industries Inc,52102020,중장비 및 차량
FSP,Franklin Street Properties Corp,60102020,상업용 REITs
WRN,Western Copper and Gold Corp,51201080,다각적 채굴
EVM,Eaton Vance California Municipal Bond Closed Fund,55501030,폐쇄형 펀드
SLND,Southland Holdings Inc,52201020,건설 및 엔지니어링
MYND,Mynd.ai Inc ADR,63101010,기타 교육 서비스 제공
OZ,Belpointe PREP Units Class A,55102020,투자 관리 및 펀드 운영
GLO,Clough Global Opportunities Closed Fund,55501030,폐쇄형 펀드
ELLO,Ellomay Capital Ltd,59101010,전력 유틸리티
SLI,Standard Lithium Ltd,51201050,특수 채굴 및 금속
LCTX,Lineage Cell Therapeutics Inc,56202010,생명 공학 및 의학 연구
STXS,Stereotaxis Inc,56101010,첨단 의료 장비 및 기술
NHS,Neuberger Berman High Yield Strategies Fund Inc,55501030,폐쇄형 펀드
LEGT.U,Legato Merger Units,55601010,투자 지주 회사
ATNM,Actinium Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
DHY,Credit Suisse High Yield Bond Closed Fund,55501030,폐쇄형 펀드
CMCL,Caledonia Mining Corporation PLC,51201060,금
NEN,New England Realty Associates LP DRC,60101010,"부동산 임대, 개발 및 운영"
EPM,Evolution Petroleum Corp,50102020,"오일, 가스 탐사 및 생산"
INFU,InfuSystem Holdings Inc,56101020,"의료 장비, 물품 및 유통"
NBH,Neuberger Berman Municipal Fund Inc,55501030,폐쇄형 펀드
EMX,EMX Royalty Corp,51201080,다각적 채굴
GTE,Gran Tierra Energy Inc,50102020,"오일, 가스 탐사 및 생산"
DC,Dakota Gold Corp,51201060,금
NEWP,New Pacific Metals Corp,51201080,다각적 채굴
ESBA,Empire State Realty Operating Partnership Units Series ES,60102020,상업용 REITs
CTGO,Contango ORE Inc,51201060,금
ENX,Eaton Vance New York Municipal Bond Closed Fund,55501030,폐쇄형 펀드
ADRT.U,Ault Disruptive Technologies Units,55601010,투자 지주 회사
SACH,Sachem Capital Corp,55101010,은행
EVE,EVe Mobility Acquisition Corp,55601010,투자 지주 회사
CMT,Core Molding Technologies Inc,51302010,용기(종이 제외) 및 포장재
EVBN,Evans Bancorp Inc,55101010,은행
CIK,Credit Suisse Asset Management Income Closed Fund,55501030,폐쇄형 펀드
GLDG,GoldMining Inc,51201060,금
NRO,Neuberger Berman Real Estate Securities Income Closed Fund,55501030,폐쇄형 펀드
NAK,Northern Dynasty Minerals Ltd,51201080,다각적 채굴
CYBN,Cybin Inc,56202010,생명 공학 및 의학 연구
XTNT,Xtant Medical Holdings Inc,56101020,"의료 장비, 물품 및 유통"
ACU,Acme United Corp,52203060,비즈니스 지원 용품
VCXB,10X Capital Venture Acquisition III Corp,55601010,투자 지주 회사
ELMD,Electromed Inc,56101010,첨단 의료 장비 및 기술
DMF,BNY Mellon Municipal Income Inc,55501030,폐쇄형 펀드
INTT,inTest Corp,52102030,전기 부품 및 장비
ATEK,Athena Technology Acquisition Corp II,55601010,투자 지주 회사
EP,Empire Petroleum Corp,50102020,"오일, 가스 탐사 및 생산"
ZOM,Zomedica Corp,56102010,의료 시설 및 서비스
ARMP,Armata Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
FRD,Friedman Industries Inc,51201020,철 및 강철
VFL,Abrdn National Municipal Income Mutual Fund,55501030,폐쇄형 펀드
SOAR,Volato Group Inc,52406010,항공사
DIT,Amcon Distributing Co,54301020,식품 소매 및 유통
GLQ,Clough Global Equity Closed Fund,55501030,폐쇄형 펀드
CVM,CEL-SCI Corp,56201040,제약
PLG,Platinum Group Metals Ltd,51201010,금 제외 귀금속 및 광물
THM,International Tower Hill Mines Ltd,51201060,금
ELA,Envela Corp,53403040,의류 및 액세서리 소매
ECF,Ellsworth Growth and Income Fund Ltd,55501030,폐쇄형 펀드
MPTI,M-Tron Industries Inc,57104010,전자 장비 및 부품
SPPP,Sprott Physical Platinum and Palladium Trust,55501030,폐쇄형 펀드
IAF,abrdn Australia Equity Mutual Fund,55501030,폐쇄형 펀드
PLX,Protalix Biotherapeutics Inc,56202010,생명 공학 및 의학 연구
TRX,TRX Gold Corp,51201060,금
PCG PR A,Pacific Gas and Electric 6% 1st Pref Shs,59101010,전력 유틸리티
MHH,Mastech Digital Inc,52203030,고용 서비스
CHAA,Catcha Investment Corp,55601010,투자 지주 회사
RYDE,Ryde Group Ltd,57201020,소프트웨어
BATL,Battalion Oil Corp,50102020,"오일, 가스 탐사 및 생산"
MYO,Myomo Inc,56101020,"의료 장비, 물품 및 유통"
IDR,Idaho Strategic Resources Inc,51201080,다각적 채굴
HNW,Pioneer Diversified High Income Fund Inc,55501030,폐쇄형 펀드
BLUA,Blueriver Acquisition Corp,55601010,투자 지주 회사
BCV,Bancroft Closed Fund,55501030,폐쇄형 펀드
BITE,Bite Acquisition Corp,55601010,투자 지주 회사
ERH,Allspring Utilities And High Income Mutual Fund,55501030,폐쇄형 펀드
MPU,Mega Matrix Corp,57201020,소프트웨어
BACA,Berenson Acquisition Corp I,55601010,투자 지주 회사
GLU,Gabelli Global Utility and Income Closed Fund,55501030,폐쇄형 펀드
GGN PR B,GAMCO Global Gold Natural Resources and Income 5.00% Cumulative Pref Shs Series,55501030,폐쇄형 펀드
VNRX,VolitionRX Ltd,56202010,생명 공학 및 의학 연구
ASXC,Asensus Surgical Inc,56101020,"의료 장비, 물품 및 유통"
DMYY.U,dMY Squared Technology Group Units Class A,55601010,투자 지주 회사
CEV,Eaton Vance California Municipal Income Closed Fund,55501030,폐쇄형 펀드
TMQ,Trilogy Metals Inc,51201080,다각적 채굴
FCO,abrdn Global Income Mutual Fund,55501030,폐쇄형 펀드
INUV,Inuvo Inc,57201020,소프트웨어
GLV,Clough Global Dividend and Income Fund,55501030,폐쇄형 펀드
AXIL,AXIL Brands Inc,54201020,개인 생활 필수 용품
ESP,Espey MFG & Electronics Corp,52102030,전기 부품 및 장비
BGI,Birks Group Inc,53202020,의류 및 액세서리
APT,Alpha Pro Tech Ltd,56101020,"의료 장비, 물품 및 유통"
AE,Adams Resources & Energy Inc,50102030,"오일, 가스 정제 및 마케팅"
IOR,Income Opportunity Realty Investors Inc,60101010,"부동산 임대, 개발 및 운영"
PMNT,Perfect Moment Ltd,53403040,의류 및 액세서리 소매
ASM,Avino Silver & Gold Mines Ltd,51201080,다각적 채굴
FURY,Fury Gold Mines Ltd,51201080,다각적 채굴
DPSI,DecisionPoint Systems Inc,53403050,컴퓨터 및 전자 제품 소매
PED,PEDEVCO Corp,50102020,"오일, 가스 탐사 및 생산"
VGZ,Vista Gold Corp,51201060,금
BEEP,Mobile Infrastructure Corp,60101010,"부동산 임대, 개발 및 운영"
MTNB,Matinas BioPharma Holdings Inc,56202010,생명 공학 및 의학 연구
BHM,Bluerock Homes Trust Inc,60102030,주거용 REITs
ISDR,Issuer Direct Corp,57201010,IT 서비스 및 컨설팅
MLSS,Milestone Scientific Inc,56101010,첨단 의료 장비 및 기술
KNW,Know Labs Inc,56101010,첨단 의료 장비 및 기술
USAS,Americas Gold and Silver Corporation,51201080,다각적 채굴
ZDGE,Zedge Inc,57201020,소프트웨어
AREN,Arena Group Holdings Inc,57201030,온라인 서비스
GLU PR B,The Gabelli Global Utility Income Cumulative Pref Shs Series B,55501030,폐쇄형 펀드
STRW,Strawberry Fields Reit Inc,60102040,특수 REITs
CCEL,Cryo-Cell International Inc,56102010,의료 시설 및 서비스
TOON,Kartoon Studios Inc,53302030,엔터테인먼트 제작
BRBS,Blue Ridge Bankshares Inc,55101010,은행
NTIP,Network-1 Technologies Inc,53302030,엔터테인먼트 제작
ITRG,Integra Resources Corp,51201080,다각적 채굴
OGCP,Empire State Realty Operating Partnership Units Series 60,60102020,상업용 REITs
BDL,Flanigan's Enterprises Inc,53301020,레스토랑 및 바
GLU PR A,Gabelli Global Utility and Income Cumulative Puttable and Callable Pref Shs,55501030,폐쇄형 펀드
LODE,Comstock Inc,51201080,다각적 채굴
XPL,Solitario Resources Corp,51201050,특수 채굴 및 금속
LPTV,Loop Media Inc,53302020,방송
SATX,Satixfy Communications Ltd,57102010,통신 및 네트워킹
SACH PR A,Sachem Capital 7 75 Cumulative Redeemable Pref Shs Series A,55101010,은행
DMYY,DMY Squared Technology Group Inc,55601010,투자 지주 회사
BKTI,BK Technologies Corp,57102010,통신 및 네트워킹
MRT,Marti Technologies Inc,57201020,소프트웨어
JOB,GEE Group Inc,52203030,고용 서비스
ADRT,Ault Disruptive Technologies Corp,55601010,투자 지주 회사
MGLD,Marygold Companies Inc,55102020,투자 관리 및 펀드 운영
INLX,Intellinetics Inc,57201020,소프트웨어
COE,51Talk Online Education Group ADR,63101010,기타 교육 서비스 제공
RVP,Retractable Technologies Inc,56101020,"의료 장비, 물품 및 유통"
GRF,Eagle Capital Growth Fund,55501030,폐쇄형 펀드
MI,Nft Ltd,57201030,온라인 서비스
PCG PR D,Pacific Gas and Electric 5% 1st Redeemable Pref Shs,59101010,전력 유틸리티
AGE,AgeX Therapeutics Inc,56202010,생명 공학 및 의학 연구
LGL,LGL Group Inc,52102030,전기 부품 및 장비
SVT,Servotronics Inc,52102030,전기 부품 및 장비
HWM PR,Howmet Aerospace Pref Shs,52101010,항공우주 및 방위
CVU,CPI Aerostructures Inc,52101010,항공우주 및 방위
PTN,Palatin Technologies Inc,56202010,생명 공학 및 의학 연구
BCV PR A,Bancroft 5.375 Cumulative Pref Shs Series A,55501030,폐쇄형 펀드
SBEV,Splash Beverage Group Inc,54101030,무알콜 음료
UAMY,United States Antimony Corp,51201050,특수 채굴 및 금속
ECF PR A,Ellsworth Growth and Income 5.25 Cumulative Pref Shs Series A,55501030,폐쇄형 펀드
SDPI,Superior Drilling Products Inc,50103020,오일 관련 서비스 및 장비
WWR,Westwater Resources Inc,51201080,다각적 채굴
CKX,CKX Lands Inc,60101010,"부동산 임대, 개발 및 운영"
GORO,Gold Resource Corp,51201080,다각적 채굴
DLA,Delta Apparel Inc,53202020,의류 및 액세서리
FSI,Flexible Solutions International Inc,51101030,특수 화학제
DDC,DDC Enterprise Ltd,54102020,식품 가공
CLDI,Calidi Biotherapeutics Inc,56202010,생명 공학 및 의학 연구
CEI,Camber Energy Inc,50102020,"오일, 가스 탐사 및 생산"
PCG PR B,Pacific Gas and Electric 5.5% 1st Pref Shs,59101010,전력 유틸리티
FISK,Empire State Realty Operating Partnership Units Series 250,60102020,상업용 REITs
GNS,Genius Group Ltd,63101010,기타 교육 서비스 제공
UMAC,Unusual Machines Inc,55102020,투자 관리 및 펀드 운영
MAIA,Maia Biotechnology Inc,56202010,생명 공학 및 의학 연구
WYY,WidePoint Corp,57201010,IT 서비스 및 컨설팅
TRT,Trio-Tech International,57101020,반도체 장비 및 테스트
BRN,Barnwell Industries Inc,50102020,"오일, 가스 탐사 및 생산"
INDO,Indonesia Energy Corp Ltd,50102020,"오일, 가스 탐사 및 생산"
BMTX,Bm Technologies Inc,57301010,핀테크
IGC,IGC Pharma Inc,56202010,생명 공학 및 의학 연구
MXC,Mexco Energy Corp,50102020,"오일, 가스 탐사 및 생산"
CHRO,Chromocell Therapeutics Corp,56202010,생명 공학 및 의학 연구
PZG,Paramount Gold Nevada Corp,51201060,금
PLAG,Planet Green Holdings Corp,54102020,식품 가공
SYNX,Silynxcom Ltd,57102010,통신 및 네트워킹
ATCH,Atlasclear Holdings Inc,57301090,기타 핀테크 인프라
SIF,SIFCO Industries Inc,51201020,철 및 강철
AAU,Almaden Minerals Ltd,51201080,다각적 채굴
AIM,AIM ImmunoTech Inc,56202010,생명 공학 및 의학 연구
CTM,Castellum Inc,57201010,IT 서비스 및 컨설팅
KULR,KULR Technology Group Inc,52102030,전기 부품 및 장비
PHGE,Biomx Inc,56202010,생명 공학 및 의학 연구
NRXS,Neuraxis Inc,56101020,"의료 장비, 물품 및 유통"
PCG PR E,Pacific Gas and Electric 5% 1st Redeemable Pref Shs Series A,59101010,전력 유틸리티
GRFX,Graphex Group Ltd ADR,51101030,특수 화학제
OPTT,Ocean Power Technologies Inc,50201010,재생 가능 에너지 장비 및 서비스
AMS,American Shared Hospital Services,52203040,경영 지원 서비스
NCL,Northann Corp,53403020,주택 개조 제품 및 서비스 소매
AUST,Austin Gold Corp,51201060,금
COHN,Cohen & Company Inc,55102050,"금융, 상품 시장 운영 및 서비스 제공"
PCG PR G,Pacific Gas and Electric 4.8% 1st Pref Shs,59101010,전력 유틸리티
CVR,Chicago Rivet & Machine Co,52102010,산업용 기계 및 장비
IHT,InnSuites Hospitality Trust,60102040,특수 REITs
HUSA,Houston American Energy Corp,50102020,"오일, 가스 탐사 및 생산"
AIRI,Air Industries Group,52101010,항공우주 및 방위
NNVC,NanoViricides Inc,56202010,생명 공학 및 의학 연구
DSS,Dss Inc,51302020,종이 포장재
VINE,Fresh Vine Wine Inc,54101020,증류주 및 포도주
MWG,Multi Ways Holdings Ltd,52203040,경영 지원 서비스
RCG,RENN Fund,55102020,투자 관리 및 펀드 운영
MSN,Emerson Radio Corp,53204030,"가전제품, 도구 및 가정 용품"
CANF,Can Fite Biopharma Ltd ADR,56201040,제약
MIMO,Airspan Networks Holdings Inc,57201020,소프트웨어
PCG PR H,Pacific Gas and Electric 4.5% 1st Pref Shs,59101010,전력 유틸리티
AAMC,Altisource Asset Management Corp,60101020,부동산 서비스
BLUA.U,Blueriver Acquisition Units,55601010,투자 지주 회사
SGE,Strong Global Entertainment Inc,57106030,가정용 전자 제품
PAPL,Pineapple Financial Inc,55101030,소비자 대출
AWX,Avalon Holdings Corp,52203010,환경 서비스 및 장비
SCPX,Scorpius Holdings Inc,56201040,제약
AULT PR D,Ault Alliance 13 00 Cumulative Redeemable Perpetual Pref Shs Series D,57301030,블록 체인 및 암호화폐
TPHS,Trinity Place Holdings Inc,60101010,"부동산 임대, 개발 및 운영"
UAVS,Ageagle Aerial Systems Inc,52101010,항공우주 및 방위
EFSH,1847 Holdings LLC,53403050,컴퓨터 및 전자 제품 소매
AINC,Ashford Inc,55102020,투자 관리 및 펀드 운영
TOVX,Theriva Biologics Inc,56202010,생명 공학 및 의학 연구
LSF,Laird Superfood Inc,54102020,식품 가공
PCG PR C,Pacific Gas and Electric 5% 1st Pref Shs,59101010,전력 유틸리티
PCG PR I,Pacific Gas and Electric 4.36% 1st Pref Shs,59101010,전력 유틸리티
OGEN,Oragenics Inc,56202010,생명 공학 및 의학 연구
MITQ,Moving Image Technologies Inc,57106030,가정용 전자 제품
HNRA,HNR Acquisition Corp,50102020,"오일, 가스 탐사 및 생산"
AZTR,Azitra Inc,56202010,생명 공학 및 의학 연구
KIQ,Kelso Technologies Inc,52102010,산업용 기계 및 장비
SGN,Signing Day Sports Inc,57201020,소프트웨어
VHAI,Vocodia Holdings Corp,57201020,소프트웨어
AUMN,Golden Minerals Co,51201010,금 제외 귀금속 및 광물
SSY,SunLink Health Systems Inc,54301010,의약품 소매
BURU,NUBURU Inc,52102010,산업용 기계 및 장비
GBR,New Concept Energy Inc,50102020,"오일, 가스 탐사 및 생산"
ENSV,Enservco Corp,50103020,오일 관련 서비스 및 장비
AMBO,Ambow Education Holding Ltd ADR,63102010,"초, 중, 고등 교육기관"
BTTR,Better Choice Company Inc,54102020,식품 가공
RHE,Regional Health Properties Inc,60101010,"부동산 임대, 개발 및 운영"
VTAK,Catheter Precision Inc,56101010,첨단 의료 장비 및 기술
IBIO,Ibio Inc,56201040,제약
CPHI,China Pharma Holdings Inc,56201040,제약
POL,Polished.Com Inc,53402010,백화점
ID,PARTS iD Inc,53403010,"자동차 차량, 부품 및 서비스 소매"
YCBD PR A,cbdMD 8 0 Series A Cumulative Convertible Pref Shs,56201040,제약
UUU,Universal Security Instruments Inc,57102010,통신 및 네트워킹
PHGE.U,BiomX Units,56202010,생명 공학 및 의학 연구
TPET,Trio Petroleum Corp,50103020,오일 관련 서비스 및 장비
ITP,IT Tech Packaging Inc,51301020,종이 제품
FOXO,Foxo Technologies Inc,57201010,IT 서비스 및 컨설팅
YCBD,cbdMD Inc,56201040,제약
PW,Power REIT,60102020,상업용 REITs
AULT,Ault Alliance Inc,57301030,블록 체인 및 암호화폐
DXF,Dunxin Financial Holdings Ltd ADR,55101030,소비자 대출
AMPE,Ampio Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
BQ,Boqii Holding Ltd ADR,53403090,기타 전문 소매
NBY,NovaBay Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
PW PR A,Power REIT 7.75% Cumulative Redeemable Perpetual Pref Shs Series A,60102020,상업용 REITs
RHE PR A,Regional Health Properties 10.875 Cumulative Redeemable Pref Shs Series A,60101010,"부동산 임대, 개발 및 운영"
SING,SinglePoint Inc,52201020,건설 및 엔지니어링
IPB,Merrill Lynch Depositor Corporate Backed Trust Certificates Series 2003-1 Exp,55101050,기업 금융 서비스
TELZ,Tellurian 8 25 Senior Notes due 2028,50102020,"오일, 가스 탐사 및 생산"
LNFA.U,L F Acquisition Redeemable Units Class A,55601010,투자 지주 회사
AMDI,Amphitrite Digital Inc,53301040,여가 및 오락시설
